timestamp,cor,area_px,diametro_px,servo_angle,color_index(1-5)
2025-09-27 14:19:58,azul,5005,85,135,4
2025-09-27 14:42:03,azul,5502,88,135,4
2025-09-27 15:59:49,azul,5465,89,135,4
